gene Species
Glyma.01G219000 Fvirguliforme
Glyma.01G026200 Fvirguliforme
Glyma.13G065000 Fvirguliforme
Glyma.17G168900 Fvirguliforme
Glyma.13G054800 Fvirguliforme
Glyma.13G231700 Fvirguliforme
Glyma.13G054700 Fvirguliforme
Glyma.13G225900 Fvirguliforme
Glyma.05G219700 Fvirguliforme
Glyma.08G246300 Fvirguliforme
Glyma.09G052700 Fvirguliforme
Glyma.01G232400 Fvirguliforme
Glyma.13G049100 Fvirguliforme
Glyma.18G217000 Fvirguliforme
Glyma.04G086900 Fvirguliforme
Glyma.17G218500 Fvirguliforme
Glyma.17G057100 Fvirguliforme
Glyma.02G081100 Fvirguliforme
Glyma.02G015600 Fvirguliforme
Glyma.17G180500 Fvirguliforme
Glyma.17G015000 Fvirguliforme
Glyma.18G238200 Fvirguliforme
Glyma.12G181800 Fvirguliforme
Glyma.12G220600 Fvirguliforme
Glyma.13G204300 Fvirguliforme
Glyma.14G222400 Fvirguliforme
Glyma.17G062500 Fvirguliforme
Glyma.04G090900 Fvirguliforme
Glyma.05G224400 Fvirguliforme
Glyma.02G014800 Fvirguliforme
Glyma.07G022700 Fvirguliforme
Glyma.06G187200 Mphaseolina
Glyma.08G316500 Mphaseolina
Glyma.08G332800 Mphaseolina
Glyma.09G216800 Mphaseolina
Glyma.09G218600 Mphaseolina
Glyma.18G301700 Mphaseolina
Glyma.20G203900 Mphaseolina
Glyma.20G216600 Mphaseolina
Glyma.15G123900 Ppachyrhizi
Glyma.15G125900 Ppachyrhizi
Glyma.18G286900 Ppachyrhizi
