Pathogen	Class	Sample_description	BioSample	BioProject	Tissue
Rreniformis	nematode	stress_3days	SAMN05908868	PRJNA348534	root
Rreniformis	nematode	stress_3days	SAMN05908870	PRJNA348534	root
Rreniformis	nematode	stress_3days	SAMN05908855	PRJNA348534	root
Rreniformis	nematode	stress_6days	SAMN05908876	PRJNA348534	root
Rreniformis	nematode	stress_6days	SAMN05908872	PRJNA348534	root
Rreniformis	nematode	stress_6days	SAMN05908874	PRJNA348534	root
Rreniformis	nematode	stress_9days	SAMN05908878	PRJNA348534	root
Rreniformis	nematode	stress_9days	SAMN05908884	PRJNA348534	root
Rreniformis	nematode	stress_9days	SAMN05908881	PRJNA348534	root
Rsolani	fungus	control_24h	SAMN05150264	PRJNA322284	leaves
Rsolani	fungus	control_24h	SAMN05150266	PRJNA322284	leaves
Rsolani	fungus	control_24h	SAMN05150267	PRJNA322284	leaves
Rsolani	fungus	control_24h	SAMN05150268	PRJNA322284	leaves
Rsolani	fungus	control_24h	SAMN05150262	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05076321	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05076343	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05076349	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05076085	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05150259	PRJNA322284	leaves
Rsolani	fungus	stress_24h	SAMN05150261	PRJNA322284	leaves
Slitura	insect	control	SAMN03173248	PRJNA266690	leaves
Slitura	insect	control	SAMN03173246	PRJNA266690	leaves
Slitura	insect	stress	SAMN03173247	PRJNA266690	leaves
Slitura	insect	stress	SAMN03173245	PRJNA266690	leaves
SMV	virus	control	SAMN04485884	PRJNA311571	leaves
SMV	virus	stress_SMV-G7	SAMN04485886	PRJNA311571	leaves
SMV	virus	stress_SMV-L	SAMN04485885	PRJNA311571	leaves
SMV	virus	stress_0hpi_res	SAMN12727386	PRJNA564957	leaves
SMV	virus	stress_0hpi_res	SAMN12727387	PRJNA564957	leaves
SMV	virus	stress_0hpi_sus	SAMN12727377	PRJNA564957	leaves
SMV	virus	stress_0hpi_sus	SAMN12727376	PRJNA564957	leaves
SMV	virus	stress_2hpi_res	SAMN12727384	PRJNA564957	leaves
SMV	virus	stress_2hpi_res	SAMN12727385	PRJNA564957	leaves
SMV	virus	stress_2hpi_sus	SAMN12727375	PRJNA564957	leaves
SMV	virus	stress_2hpi_sus	SAMN12727374	PRJNA564957	leaves
SMV	virus	stress_4hpi_res	SAMN12727382	PRJNA564957	leaves
SMV	virus	stress_4hpi_res	SAMN12727383	PRJNA564957	leaves
SMV	virus	stress_4hpi_sus	SAMN12727373	PRJNA564957	leaves
SMV	virus	stress_4hpi_sus	SAMN12727372	PRJNA564957	leaves
SMV	virus	stress_6hpi_res	SAMN12727381	PRJNA564957	leaves
SMV	virus	stress_6hpi_res	SAMN12727380	PRJNA564957	leaves
SMV	virus	stress_6hpi_sus	SAMN12727371	PRJNA564957	leaves
SMV	virus	stress_6hpi_sus	SAMN12727370	PRJNA564957	leaves
SMV	virus	stress_8hpi_res	SAMN12727379	PRJNA564957	leaves
SMV	virus	stress_8hpi_res	SAMN12727378	PRJNA564957	leaves
SMV	virus	stress_8hpi_sus	SAMN12727368	PRJNA564957	leaves
SMV	virus	stress_8hpi_sus	SAMN12727369	PRJNA564957	leaves
Cgregata	fungus	control_res	SAMN05915162	PRJNA348731	leaves
Cgregata	fungus	control_res	SAMN05915164	PRJNA348731	root
Cgregata	fungus	control_res	SAMN05915163	PRJNA348731	shoot
Cgregata	fungus	control_sus	SAMN05915168	PRJNA348731	leaves
Cgregata	fungus	control_sus	SAMN05915170	PRJNA348731	root
Cgregata	fungus	control_sus	SAMN05915169	PRJNA348731	shoot
Cgregata	fungus	stress_res	SAMN05915159	PRJNA348731	leaves
Cgregata	fungus	stress_res	SAMN05915161	PRJNA348731	root
Cgregata	fungus	stress_res	SAMN05915160	PRJNA348731	shoot
Cgregata	fungus	stress_sus	SAMN05915165	PRJNA348731	leaves
Cgregata	fungus	stress_sus	SAMN05915167	PRJNA348731	root
Cgregata	fungus	stress_sus	SAMN05915166	PRJNA348731	shoot
Cgregata	fungus	control_12h	SAMN12040107	PRJNA548564	leaves
Cgregata	fungus	control_12h	SAMN12040111	PRJNA548564	root
Cgregata	fungus	control_24h	SAMN12040113	PRJNA548564	leaves
Cgregata	fungus	control_24h	SAMN12040117	PRJNA548564	root
Cgregata	fungus	control_24h	SAMN12040115	PRJNA548564	shoot
Cgregata	fungus	control_36h	SAMN12040119	PRJNA548564	leaves
Cgregata	fungus	control_36h	SAMN12040121	PRJNA548564	shoot
Cgregata	fungus	stress_12h	SAMN12040106	PRJNA548564	leaves
Cgregata	fungus	stress_12h	SAMN12040110	PRJNA548564	root
Cgregata	fungus	stress_12h	SAMN12040108	PRJNA548564	shoot
Cgregata	fungus	stress_24h	SAMN12040116	PRJNA548564	root
Cgregata	fungus	stress_24h	SAMN12040114	PRJNA548564	shoot
Cgregata	fungus	stress_36h	SAMN12040118	PRJNA548564	leaves
Cgregata	fungus	stress_36h	SAMN12040122	PRJNA548564	root
Cgregata	fungus	stress_36h	SAMN12040120	PRJNA548564	shoot
